date,bank,banknm,value
2015/1,CTCB,中信,54137844 
2015/1,UWCB,國泰,49437822 
2015/1,CITI,花旗,47060641 
2015/1,ESUN,玉山,35862864 
2015/1,TSIB,台新,33294166 
2015/1,TPBK,富邦,24972835 
2015/1,SINO,永豐,16265737 
2015/1,FEIN,遠東,15193953 
2015/1,UBOT,聯邦,13155605 
2015/1,TCBB,匯豐,9555882 
2015/1,ANZB,澳盛,8523711 
2015/1,MKTB,新光,6697613 
2015/1,OURB,大眾,6410823 
2015/1,FCBK,第一,5778777 
2015/1,HNBK,華南,4612454 
2015/1,SCBL,渣打,4594243 
2015/1,ICBC,兆豐,4422713 
2015/1,AE,美國運通,4191867 
2015/1,TACB,合庫,2493268 
2015/1,APBK,元大,2349195 
2015/1,CSMB,凱基,2294583 
2015/1,SCSB,上海,2226855 
2015/1,ENTI,安泰,1995411 
2015/1,MBBT,台企銀,1558033 
2015/1,CCBC,彰化,1302161 
2015/1,JSIB,日盛,1134830 
2015/1,BKTW,台銀,910108 
2015/1,AEON,永旺,646681 
2015/1,TCBB,台中,609216 
2015/1,LBOT,土地,571387 
2015/1,SUNY,陽信,560615 
2015/1,COBK,三信,178676 
2015/1,BKAO,高雄,137837 
2015/1,HTBK,華泰,86471 
2015/1,DBSS,星展,82037 
2015/1,RT,樂天,2360 
2015/2,CTCB,中信,53454077 
2015/2,UWCB,國泰,47412531 
2015/2,CITI,花旗,45565372 
2015/2,ESUN,玉山,34617343 
2015/2,TSIB,台新,32520969 
2015/2,TPBK,富邦,23261633 
2015/2,SINO,永豐,15761012 
2015/2,FEIN,遠東,14601074 
2015/2,UBOT,聯邦,12994864 
2015/2,TCBB,匯豐,8935898 
2015/2,ANZB,澳盛,8048736 
2015/2,MKTB,新光,6756968 
2015/2,OURB,大眾,6118737 
2015/2,FCBK,第一,5750680 
2015/2,HNBK,華南,4507730 
2015/2,SCBL,渣打,4411949 
2015/2,ICBC,兆豐,4386869 
2015/2,AE,美國運通,3626787 
2015/2,TACB,合庫,2791253 
2015/2,APBK,元大,2240914 
2015/2,CSMB,凱基,2210424 
2015/2,SCSB,上海,1971790 
2015/2,ENTI,安泰,1905448 
2015/2,MBBT,台企銀,1594153 
2015/2,CCBC,彰化,1290694 
2015/2,JSIB,日盛,1109761 
2015/2,BKTW,台銀,881240 
2015/2,AEON,永旺,606486 
2015/2,TCBB,台中,594974 
2015/2,LBOT,土地,557565 
2015/2,SUNY,陽信,530422 
2015/2,COBK,三信,161281 
2015/2,BKAO,高雄,127942 
2015/2,HTBK,華泰,81064 
2015/2,DBSS,星展,75671 
2015/2,RT,樂天,27851 
2015/3,CTCB,中信,53647155 
2015/3,UWCB,國泰,52129201 
2015/3,CITI,花旗,45309585 
2015/3,ESUN,玉山,34844097 
2015/3,TSIB,台新,33202835 
2015/3,TPBK,富邦,25524141 
2015/3,SINO,永豐,16473015 
2015/3,FEIN,遠東,14502234 
2015/3,UBOT,聯邦,12697617 
2015/3,TCBB,匯豐,9245289 
2015/3,ANZB,澳盛,8457194 
2015/3,MKTB,新光,7494972 
2015/3,OURB,大眾,6149861 
2015/3,FCBK,第一,5971710 
2015/3,HNBK,華南,4810103 
2015/3,SCBL,渣打,4462693 
2015/3,ICBC,兆豐,4411412 
2015/3,AE,美國運通,4222225 
2015/3,TACB,合庫,2885376 
2015/3,APBK,元大,2586614 
2015/3,CSMB,凱基,2354298 
2015/3,SCSB,上海,2213284 
2015/3,ENTI,安泰,1984419 
2015/3,MBBT,台企銀,1550174 
2015/3,CCBC,彰化,1414282 
2015/3,JSIB,日盛,1131520 
2015/3,BKTW,台銀,924034 
2015/3,TCBB,台中,624032 
2015/3,AEON,永旺,583717 
2015/3,LBOT,土地,572245 
2015/3,SUNY,陽信,570364 
2015/3,COBK,三信,153445 
2015/3,BKAO,高雄,140510 
2015/3,RT,樂天,114013 
2015/3,DBSS,星展,82129 
2015/3,HTBK,華泰,80155 
2015/4,CTCB,中信,52771857 
2015/4,UWCB,國泰,51566281 
2015/4,CITI,花旗,45363381 
2015/4,ESUN,玉山,36984312 
2015/4,TSIB,台新,32646805 
2015/4,TPBK,富邦,24427752 
2015/4,SINO,永豐,16046594 
2015/4,FEIN,遠東,14083471 
2015/4,UBOT,聯邦,12667867 
2015/4,TCBB,匯豐,9145965 
2015/4,ANZB,澳盛,8301810 
2015/4,MKTB,新光,6902159 
2015/4,OURB,大眾,6131453 
2015/4,FCBK,第一,5973818 
2015/4,HNBK,華南,4820052 
2015/4,ICBC,兆豐,4407079 
2015/4,SCBL,渣打,4342545 
2015/4,AE,美國運通,4103827 
2015/4,TACB,合庫,2785185 
2015/4,APBK,元大,2760309 
2015/4,CSMB,凱基,2307930 
2015/4,SCSB,上海,2076678 
2015/4,ENTI,安泰,1941361 
2015/4,MBBT,台企銀,1546876 
2015/4,CCBC,彰化,1460635 
2015/4,JSIB,日盛,1109789 
2015/4,BKTW,台銀,878607 
2015/4,TCBB,台中,628125 
2015/4,AEON,永旺,556197 
2015/4,SUNY,陽信,545082 
2015/4,LBOT,土地,538381 
2015/4,COBK,三信,156960 
2015/4,BKAO,高雄,142272 
2015/4,DBSS,星展,79572 
2015/4,HTBK,華泰,78928 
2015/4,RT,樂天,68278 
2015/5,CTCB,中信,51771770 
2015/5,UWCB,國泰,50578750 
2015/5,CITI,花旗,45549087 
2015/5,ESUN,玉山,38581959 
2015/5,TSIB,台新,31813555 
2015/5,TPBK,富邦,24802114 
2015/5,SINO,永豐,15848623 
2015/5,FEIN,遠東,13951748 
2015/5,UBOT,聯邦,12948223 
2015/5,TCBB,匯豐,8919838 
2015/5,ANZB,澳盛,8189475 
2015/5,MKTB,新光,6859160 
2015/5,OURB,大眾,6126858 
2015/5,FCBK,第一,5969154 
2015/5,HNBK,華南,4790322 
2015/5,ICBC,兆豐,4448026 
2015/5,AE,美國運通,4424375 
2015/5,SCBL,渣打,4304901 
2015/5,APBK,元大,2839120 
2015/5,TACB,合庫,2828264 
2015/5,CSMB,凱基,2370102 
2015/5,SCSB,上海,2047895 
2015/5,ENTI,安泰,1964593 
2015/5,MBBT,台企銀,1577614 
2015/5,CCBC,彰化,1407493 
2015/5,JSIB,日盛,1085939 
2015/5,BKTW,台銀,893932 
2015/5,TCBB,台中,644671 
2015/5,AEON,永旺,557801 
2015/5,SUNY,陽信,554284 
2015/5,LBOT,土地,553577 
2015/5,COBK,三信,170466 
2015/5,BKAO,高雄,149386 
2015/5,RT,樂天,98273 
2015/5,HTBK,華泰,83970 
2015/5,DBSS,星展,81322 
2015/6,CTCB,中信,68574415 
2015/6,UWCB,國泰,61730035 
2015/6,ESUN,玉山,48102088 
2015/6,CITI,花旗,47454265 
2015/6,TSIB,台新,41646493 
2015/6,TPBK,富邦,29749453 
2015/6,SINO,永豐,19533418 
2015/6,FEIN,遠東,19073745 
2015/6,UBOT,聯邦,14580281 
2015/6,TCBB,匯豐,10577335 
2015/6,MKTB,新光,9333462 
2015/6,ANZB,澳盛,8800169 
2015/6,OURB,大眾,7293793 
2015/6,HNBK,華南,6824807 
2015/6,FCBK,第一,6778599 
2015/6,ICBC,兆豐,5708380 
2015/6,SCBL,渣打,4887253 
2015/6,TACB,合庫,4485581 
2015/6,AE,美國運通,4232239 
2015/6,CSMB,凱基,3735570 
2015/6,APBK,元大,3716825 
2015/6,CCBC,彰化,2948041 
2015/6,SCSB,上海,2207351 
2015/6,ENTI,安泰,2003286 
2015/6,MBBT,台企銀,1778163 
2015/6,JSIB,日盛,1180419 
2015/6,BKTW,台銀,1037086 
2015/6,TCBB,台中,700218 
2015/6,LBOT,土地,660615 
2015/6,SUNY,陽信,581454 
2015/6,AEON,永旺,537709 
