date,bank,banknm,value,flow,active,new,stop,revolving,installment,transactions,npl
2015/1,CTCB,中信,54137844 ,5820462 ,3763510 ,96600 ,32840 ,15298264 ,13612276 ,25227304 ,0.15
2015/1,UWCB,國泰,49437822 ,4797855 ,3371865 ,67494 ,32495 ,14674436 ,10009057 ,24754329 ,0.13
2015/1,CITI,花旗,47060641 ,2907945 ,2488489 ,19561 ,30528 ,17258483 ,9781715 ,20020443 ,0.49
2015/1,ESUN,玉山,35862864 ,3715397 ,2555721 ,48512 ,27383 ,10557726 ,6904779 ,18400359 ,0.23
2015/1,TSIB,台新,33294166 ,3514678 ,2408179 ,46223 ,28772 ,10469862 ,8593865 ,14230439 ,0.26
2015/1,TPBK,富邦,24972835 ,2376014 ,1612315 ,32688 ,24669 ,6917743 ,5185897 ,12869195 ,0.20
2015/1,SINO,永豐,16265737 ,2184231 ,1321057 ,19290 ,13230 ,4936312 ,4236907 ,7092518 ,0.30
2015/1,FEIN,遠東,15193953 ,1493439 ,1012732 ,14502 ,8844 ,5375103 ,4714935 ,5103915 ,0.26
2015/1,UBOT,聯邦,13155605 ,1777391 ,791475 ,22905 ,16288 ,5102301 ,2944430 ,5108874 ,0.27
2015/1,TCBB,匯豐,9555882 ,618602 ,440435 ,9153 ,6353 ,3166003 ,2044088 ,4345791 ,0.26
2015/1,ANZB,澳盛,8523711 ,645317 ,382432 ,5517 ,4524 ,3474105 ,1581913 ,3467693 ,0.31
2015/1,MKTB,新光,6697613 ,915711 ,449771 ,7713 ,5476 ,2259945 ,1295287 ,3142381 ,0.18
2015/1,OURB,大眾,6410823 ,591031 ,292736 ,9195 ,7598 ,913845 ,3721414 ,1775564 ,0.00
2015/1,FCBK,第一,5778777 ,813420 ,555037 ,15215 ,8392 ,1309186 ,915441 ,3554150 ,0.23
2015/1,HNBK,華南,4612454 ,749151 ,517241 ,12108 ,9691 ,665331 ,807054 ,3140069 ,0.08
2015/1,SCBL,渣打,4594243 ,418806 ,272500 ,10552 ,4529 ,2276253 ,696624 ,1621366 ,0.50
2015/1,ICBC,兆豐,4422713 ,569958 ,386467 ,6661 ,6186 ,1313518 ,693948 ,2415247 ,0.16
2015/1,AE,美運,4191867 ,161932 ,89728 ,3028 ,2613 ,328661 ,0 ,3863206 ,0.09
2015/1,TACB,合庫,2493268 ,400723 ,237647 ,2606 ,7719 ,602344 ,193005 ,1697919 ,0.93
2015/1,APBK,元大,2349195 ,314627 ,152457 ,8171 ,1919 ,474280 ,281636 ,1593279 ,0.26
2015/1,CSMB,凱基,2294583 ,496348 ,193451 ,5168 ,4100 ,1301382 ,262575 ,730626 ,1.36
